serial no. of polling station,all india anna dravida munnetra kazhagam,naam tamilar katchi,dravida munnetra kazhagam,tamizhaga vaazhvurimai katchi,naam indiar party,aanaithinthiya jananayaka pathukappu kazhagam,bahujan dravida party,puthiya makkal tamil desam katchi,tamilaga vettri kazhagam,thamizhaka padaippalar makkal katchi,puthiya tamilagam,independent,independent.1,independent.2,independent.3,independent.4,independent.5,independent.6,independent.7,independent.8,total of valid votes,no. of rejected votes,nota,total,no. of tendered votes,building in which it will be located,polling areas,whether for all voters or men only or women only,building_clean,location_clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,AIADMK_Rank,NTK_Rank,DMK_Rank,TAVAK_Rank,NIP_Rank,PMTDK_Rank,TVK_Rank,IND1_Rank,IND2_Rank,IND3_Rank,IND4_Rank,IND5_Rank,IND6_Rank,IND7_Rank,IND8_Rank,IND9_Rank,Margin_Percentage,Total_Independent_Votes
99,79,33,95,2,0,0,0,0,132,0,134,1,1,1,0,5,3,0,1,0,487,0,7,494,0,"Community Hall   North Faced Building,  Keelathenkalam.","1.Block 2 Harijan Quarters
2.Block 3 Amman Kovil  Street
3.Block 2 Harijan Quarters Mariamman Kovil  Street
4.Block 3 Near  Bus Stop. 999.OVERSEAS ELECTORS",General,Community Hall   North Faced Building,Keelathenkalam.,tamilaga vettri kazhagam,132,95,37,dravida munnetra kazhagam,3,4,2,7,12,12,1,8,8,8,12,5,6,12,8,12,7.597535934291582,12
100,47,43,161,1,0,0,0,0,129,1,16,0,0,0,0,0,1,0,0,0,399,0,0,399,0,"T.D.T.A Middle  School,  West  Building,  East  Portion, Keelathenkalam.","1.Block 4 Narayanasamy Kovil  Street
2.Vetha Kovil  Street
3.Kamaraj  Nagar 999.OVERSEAS ELECTORS",General,"T.D.T.A Middle  School,  West  Building,  East  Portion",Keelathenkalam.,dravida munnetra kazhagam,161,129,32,tamilaga vettri kazhagam,3,4,1,5,7,7,2,7,7,7,7,7,5,7,7,7,8.020050125313283,1
101,45,21,202,0,0,2,0,2,111,0,87,1,1,1,1,1,0,0,1,1,477,0,0,477,0,"T.D.T.A Middle  School,  South Portion,  Keelathenkalam.","1.Vadapagam Muslim Street
2.Block 5 Tenkalam South Side
3.Adidiravidar  Quarters
4.Keelathenkalam. 999.OVERSEAS ELECTORS",General,"T.D.T.A Middle  School,  South Portion",Keelathenkalam.,dravida munnetra kazhagam,202,111,91,tamilaga vettri kazhagam,3,4,1,13,13,5,2,6,6,6,6,6,13,13,6,6,19.07756813417191,7
102,55,62,162,2,0,2,1,0,143,2,293,2,0,0,2,1,1,0,3,0,731,0,2,733,0,Government  ADW Primary School  Nallammalpuram,"1.Nallammalpuram
2.Gandhi  Nagar
3.Block 1 Puliankottaram North Street,  Middle  Street 999.OVERSEAS ELECTORS",General,Government  ADW Primary School  Nallammalpuram,Government  ADW Primary School  Nallammalpuram,dravida munnetra kazhagam,162,143,19,tamilaga vettri kazhagam,4,3,1,6,11,11,2,6,11,11,6,9,9,11,5,11,2.599179206566347,9
103,19,17,96,2,1,0,2,1,66,2,178,4,1,3,1,1,1,0,1,0,396,0,2,398,0,Panchayat  Union Primary School  West  Building   North Room                                     Tenkalam Puthur.,"1.Thenkalampudur  Muslim Street
2.Thenkalampudur  Muslim Street 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School  West  Building   North Room                                     Tenkalam Puthur.,Panchayat  Union Primary School  West  Building   North Room                                     Tenkalam Puthur.,dravida munnetra kazhagam,96,66,30,tamilaga vettri kazhagam,3,4,1,7,8,8,2,5,8,6,8,8,8,15,8,15,7.575757575757576,12
104,70,31,145,2,1,1,0,0,82,0,73,2,0,1,0,3,0,0,0,2,413,0,0,413,0,"St.Anthoniyar  Hr.Sec School,  East  Building,  West  Portion Western   Side,  Alavanthankulam.","1.Block 3 Alavanthankulam South Street
2.Block 3 Alavanthankulam Middle  Street
3.Block 3 Alavanthankulam North Street
4.Block 3 Alavanthankulam North Street  (West)
5.Block 3 Alavanthankulam Middle  Street  (West) 999.OVERSEAS ELECTORS",General,"St.Anthoniyar  Hr.Sec School,  East  Building,  West  Portion Western   Side",Alavanthankulam.,dravida munnetra kazhagam,145,82,63,tamilaga vettri kazhagam,3,4,1,6,9,11,2,6,11,9,11,5,11,11,11,6,15.25423728813559,8
105,75,37,246,1,0,1,0,1,184,2,46,0,0,0,2,0,2,0,2,0,599,0,2,601,0,"St.Anthoniyar  Hr.Sec School,  East  Building,  Middle  Portion East  Side,  Alavanthankulam.","1.Block 3 Alavanthankulam South Street  (West)
2.Block 6 Alavanthankulam North Street
3.Block 6 Alavanthankulam Middle  Street
4.Block 6 Alavanthankulam South Street 999.OVERSEAS ELECTORS",General,"St.Anthoniyar  Hr.Sec School,  East  Building,  Middle  Portion East  Side",Alavanthankulam.,dravida munnetra kazhagam,246,184,62,tamilaga vettri kazhagam,3,4,1,8,10,8,2,10,10,10,5,10,5,10,5,10,10.35058430717863,6
106,33,43,234,4,0,0,0,0,181,0,49,0,0,3,2,0,0,0,3,1,553,0,2,555,0,"St.Anthoniyar   Hr.  Sec.  School,  East  Building,  East  Portion Alavanthankulam.","1.Block 1 Alavanthankulam North Street
2.Block 1 Alavanthankulam Middle  Street 999.OVERSEAS ELECTORS",General,"St.Anthoniyar   Hr.  Sec.  School,  East  Building",East  Portion Alavanthankulam.,dravida munnetra kazhagam,234,181,53,tamilaga vettri kazhagam,4,3,1,5,10,10,2,10,10,6,8,10,10,10,6,9,9.584086799276673,9
107,466,59,73,1,0,0,0,0,160,1,0,2,0,1,0,7,1,1,3,0,775,0,1,776,0,"St.Anthoniyar  Hr.  Sec.  School,  Central  Building,  Middle portion Alavanthankulam.","1.Block 2 Nellaithiruthu Amman Kovil  Street
2.Block 2 Nellaithiruthu Krishnan Kovil  Street
3.Block 2 Nellaithiruthu South Street 999.OVERSEAS ELECTORS",General,"St.Anthoniyar  Hr.  Sec.  School,  Central  Building",Middle portion Alavanthankulam.,all india anna dravida munnetra kazhagam,466,160,306,tamilaga vettri kazhagam,1,4,3,8,12,12,2,7,12,8,12,5,8,8,6,12,39.48387096774194,15
108,191,25,135,6,0,3,1,0,62,0,253,2,1,1,6,1,0,0,0,0,687,0,0,687,0,Government  High School  South to   North 4th 10th Class Room Pallamadai.,"1.Block 5 Middle  Street
2.Block 5 East  Street  1st  Street
3.Block 5 East  Street  2nd Street
4.Block 5 East  Street  3rd Street
5.Block 5 North Street
6.Block 4 South Street
7.Block 4 West  Street  1st  Street
8.Block 4 West  Street  2nd Street 999.OVERSEAS ELECTORS",General,Government  High School  South to   North 4th 10th Class Room Pallamadai.,Government  High School  South to   North 4th 10th Class Room Pallamadai.,all india anna dravida munnetra kazhagam,191,135,56,dravida munnetra kazhagam,1,4,2,5,11,11,3,7,8,8,5,8,11,11,11,11,8.151382823871907,11
109,132,11,68,3,1,0,1,1,43,0,159,6,1,1,1,5,1,0,2,0,436,0,0,436,0,Government  High School  South to   North 5th 9th Class Room Pallamadai.,"1.Block 4 West  Street  3rd Street
2.Block 4 North West  Street
3.Block 4 North 1st  Ricemill  Street
4.Block 4 North 2nd Street
5.Block 4 North 3rd Street
6.Block 4 North 4th Street
7.Block 4 North 5th Street
8.Block 4 North 6th Street 999.OVERSEAS ELECTORS",General,Government  High School  South to   North 5th 9th Class Room Pallamadai.,Government  High School  South to   North 5th 9th Class Room Pallamadai.,all india anna dravida munnetra kazhagam,132,68,64,dravida munnetra kazhagam,1,4,2,7,9,9,3,5,9,9,9,6,9,15,8,15,14.67889908256881,17
110,212,58,156,4,1,1,0,4,323,1,78,3,0,3,3,3,4,0,2,2,858,0,1,859,0,"T.D.T.A Primary School,  West  Portion,  Mavadi.","1.Block 3 Ramasamiyapuram
2.Block 3 Ramasamiyapuram South Street
3.Block 3 Devar  Colony
4.Block 4 Indira Memorial  Colony
5.Block 4 Durkaiamman Kovil  Street
6.Block 4 Pillayar  Kovil  Street
7.Block 4 Vetha Kovil  Street
8.Block 5 Pillaiyar  Kovil  South Street  (Or)  9.Utchimahaliamman Kovil Street
Block 5 Salai  Pudhur
999.OVERSEAS ELECTORS",General,"T.D.T.A Primary School,  West  Portion",Mavadi.,tamilaga vettri kazhagam,323,212,111,all india anna dravida munnetra kazhagam,2,4,3,5,14,5,1,8,15,8,8,8,5,15,12,12,12.93706293706294,20
111,20,45,247,2,0,0,0,0,87,0,104,0,0,0,2,1,2,0,0,2,512,0,2,514,0,"Panchayat  Union Primary School,  North Face Ayupkanpuram","1.Block 1 Kuthalaperi  North Street
2.Block 1 Kuthalaperi  Colony Street
3.Block 1 Kuthalaperi  Middle  Street
4.Block 1 Kuthalaperi  Manthiramoorthy Street
5.Block 2 Ayubkanpuram North Street
6.Block 2 Ayubkanpuram Pallivasal  Street
7.Block 2 Ayubkanpuram South Street
8.Block 2 Ayubkanpuram Pillaiyar  Kovil  Street
9.Block 2 Ayubkanpuram Perumal  Kovil  Street 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School,North Face Ayupkanpuram,dravida munnetra kazhagam,247,87,160,tamilaga vettri kazhagam,4,3,1,5,10,10,2,10,10,10,5,9,5,10,10,5,31.25,7
112,64,63,199,0,0,0,1,1,129,0,73,0,0,0,0,0,0,0,0,0,530,0,1,531,0,"Government  Girls High School,  Northern Portion,  East  Part, Manur.",1.Block 1 North Street  Harijan Quarters 999.OVERSEAS ELECTORS,General,"Government  Girls High School,  Northern Portion,  East  Part",Manur.,dravida munnetra kazhagam,199,129,70,tamilaga vettri kazhagam,3,4,1,6,6,5,2,6,6,6,6,6,6,6,6,6,13.20754716981132,0
113,41,30,244,1,0,0,1,3,57,2,36,1,1,3,2,1,0,0,2,0,425,0,1,426,0,"Government  Hr.sec.School,  North Building East  Side  Manur.",1.Block 1 North Street  Harijan Quarters 999.OVERSEAS ELECTORS,General,Government  Hr.sec.School,North Building East  Side  Manur.,dravida munnetra kazhagam,244,57,187,tamilaga vettri kazhagam,3,4,1,9,13,5,2,9,9,5,7,9,13,13,7,13,44.0,10
114,92,36,175,2,0,0,0,1,72,2,270,1,1,1,2,0,1,0,2,1,659,0,2,661,0,"Government  Girls High School,  Northern Portion,  West  Part, Manur.","1.Block 2 Kuppanapuram (Harijan Street)
2.Kuppanapuram (Harijan Quarters)
3.Kuppanapuram (Harijan Street)
4.Kuppanapuram (Harijan Street) 999.OVERSEAS ELECTORS",General,"Government  Girls High School,  Northern Portion,  West  Part",Manur.,dravida munnetra kazhagam,175,92,83,all india anna dravida munnetra kazhagam,2,4,1,5,14,8,3,8,8,8,5,14,8,14,5,8,12.5948406676783,9
115,80,54,264,3,1,1,1,1,223,4,141,5,0,3,3,2,2,2,1,2,793,0,1,794,0,"Government  Hr.Sec.School,  North Building West  Portion Manur.","1.Block 3 Manur  Keelatheru Kattapuli
2.Block 4 Lakshmipuram South Street 999.OVERSEAS ELECTORS",General,Government  Hr.Sec.School,North Building West  Portion Manur.,dravida munnetra kazhagam,264,223,41,tamilaga vettri kazhagam,3,4,1,6,13,13,2,5,16,6,6,9,9,9,13,9,5.170239596469105,20
116,104,37,134,2,1,2,1,0,164,0,21,0,0,0,1,0,2,0,0,1,470,0,2,472,0,"Government  Hr.Sec.School,  Middle  Building West  Portion Manur.",1.Block 5 Manur  Kaspa Rajiv Nagar. 999.OVERSEAS ELECTORS,General,Government  Hr.Sec.School,Middle  Building West  Portion Manur.,tamilaga vettri kazhagam,164,134,30,dravida munnetra kazhagam,3,4,2,5,7,10,1,10,10,10,7,10,5,10,10,7,6.382978723404255,4
117,44,60,413,4,0,0,0,0,239,1,46,3,0,1,0,0,0,1,1,1,814,0,1,815,0,"T.D.T.A.  Punitha Yowan Middle  School,  West  Building, North Part,  Parvathiyapuram","1.Parvathiyapuram North Portion
2.Parvathiyapuram Kanarpatti  Road 999.OVERSEAS ELECTORS",General,"T.D.T.A.  Punitha Yowan Middle  School,  West  Building, North Part",Parvathiyapuram,dravida munnetra kazhagam,413,239,174,tamilaga vettri kazhagam,4,3,1,5,11,11,2,6,11,7,11,11,11,7,7,7,21.37592137592138,7
118,66,86,279,0,0,1,0,4,212,1,35,0,0,0,0,0,2,0,3,0,689,0,1,690,0,"T.D.T.A.  Punitha Yowan Middle  School,  West  Building, South Part,  Parvathiyapuram","1.Sankarankovil  Road
2.South Street
3.Odakkarai. 999.OVERSEAS ELECTORS",General,"T.D.T.A.  Punitha Yowan Middle  School,  West  Building, South Part",Parvathiyapuram,dravida munnetra kazhagam,279,212,67,tamilaga vettri kazhagam,4,3,1,8,8,5,2,8,8,8,8,8,7,8,6,8,9.724238026124818,5
119,155,111,82,2,1,0,0,2,113,2,3,0,0,0,8,3,4,1,0,1,488,0,4,492,0,"Panchayat  Union Primary School,  West  Building,  Kalakkudi.","1.Block 4 Kaspa East  Street
2.Block 4 Kaspa Keela Tenkarai  Street
3.Kaspa Perumal  Kovil  East  Street
4.Kaspa Perumal  Kovil  Middle  Street
5.Perumal  Kovil  West  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  West  Building",Kalakkudi.,all india anna dravida munnetra kazhagam,155,113,42,tamilaga vettri kazhagam,1,3,4,8,10,8,2,13,13,13,5,7,6,10,13,10,8.60655737704918,17
120,283,114,98,3,0,1,0,3,129,1,14,2,0,3,2,3,1,1,0,1,659,0,2,661,0,"Panchayat  Union Primary    School,  South Building West Portion Kalakkudi","1.Block 2 Kaspa Pillaiyar  Kovil  Street
2.Block 2 Gramasavadi  Street
3.Block 3 Kaspa Pillaiyar  Kovil  Center  Part  Street
4.Block 4 Gramasavadi  North Street
5.Block 1 Puthukulam West  Part  Street
6.Block 1 Puthukulam East  Part  Street 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary    School,South Building West Portion Kalakkudi,all india anna dravida munnetra kazhagam,283,129,154,tamilaga vettri kazhagam,1,3,4,5,14,5,2,9,14,5,9,5,11,11,14,11,23.36874051593323,13
121,69,61,195,1,3,1,0,2,162,1,47,0,1,2,2,3,1,0,3,0,554,0,1,555,0,"Panchayat  Union Primary School,  North Building,  Kalakkudi.","1.Block 5 Adidiravidar  North Part  Street
2.Block 5 Adidiravidar  South Part  Street
3.Block 6 Adidiravidar  New Colony Street
4.Block 6 Adidiravidar  Old Colony Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  North Building",Kalakkudi.,dravida munnetra kazhagam,195,162,33,tamilaga vettri kazhagam,3,4,1,11,5,8,2,14,11,8,8,5,11,14,5,14,5.956678700361011,12
122,37,28,562,1,0,0,0,0,88,1,0,0,0,0,0,0,0,0,3,1,721,0,1,722,0,"Panchayat  Union Middle  School,  East  Side  of  New Building, Kurichikulam.","1.Block 1 Melatheru
2.Block 2 Keelatheru 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  East  Side  of  New Building",Kurichikulam.,dravida munnetra kazhagam,562,88,474,tamilaga vettri kazhagam,3,4,1,6,8,8,2,8,8,8,8,8,8,8,5,6,65.74202496532594,4
123,51,19,275,0,0,0,1,1,117,0,17,1,2,0,0,1,1,1,2,0,489,0,2,491,0,"Panchayat  Union Middle  School,  West  Side  of  New Building, Kurichikulam.",1.Block 1 Therkkupatti  Paguthy Seethaikurichi 999.OVERSEAS ELECTORS,General,"Panchayat  Union Middle  School,  West  Side  of  New Building",Kurichikulam.,dravida munnetra kazhagam,275,117,158,tamilaga vettri kazhagam,3,4,1,12,12,7,2,7,5,12,12,7,7,7,5,12,32.31083844580777,8
124,250,31,54,0,0,0,0,1,100,0,2,0,0,0,2,3,7,0,1,1,452,0,3,455,0,"Noorul  Ishlam Mushlim High School,  West  Portion,  1st Room From West,  Therkkupatti.","1.Block 1 Chekkadi  Street
2.Block 2 Yadavar  North Street 999.OVERSEAS ELECTORS",General,"Noorul  Ishlam Mushlim High School,  West  Portion,  1st Room From West",Therkkupatti.,all india anna dravida munnetra kazhagam,250,100,150,tamilaga vettri kazhagam,1,4,3,11,11,8,2,11,11,11,7,6,5,11,8,8,33.1858407079646,14
125,114,19,196,1,0,0,0,1,72,0,1,0,0,0,0,0,1,0,1,2,408,0,2,410,0,"Noorul  Ishlam Mushlim High School,  East  Portion,  1st  Room From East,  Therkkupatti.",1.Block 1 Krishnan kovil  Street  Therkkupatti 999.OVERSEAS ELECTORS,General,"Noorul  Ishlam Mushlim High School,  East  Portion,  1st  Room From East",Therkkupatti.,dravida munnetra kazhagam,196,114,82,all india anna dravida munnetra kazhagam,2,4,1,6,10,6,3,10,10,10,10,10,6,10,6,5,20.09803921568627,4
126,138,29,466,1,0,2,1,0,136,0,2,1,0,2,0,1,2,0,2,1,784,0,1,785,0,"Noorul  Ishlam Mushlim High School,  East  Portion,  2nd Room From East,  Therkkupatti.",1.Block 4 Pallivasal  Street  Therkkupatti 999.OVERSEAS ELECTORS,General,"Noorul  Ishlam Mushlim High School,  East  Portion,  2nd Room From East",Therkkupatti.,dravida munnetra kazhagam,466,138,328,all india anna dravida munnetra kazhagam,2,4,1,8,12,12,3,8,12,5,12,8,5,12,5,8,41.83673469387755,9
127,90,32,195,1,1,0,1,0,87,2,44,1,1,2,1,0,0,0,3,1,462,0,0,462,0,"Panchayat  Union Primary School  Additional  Building, Thirumalapuram.","1.Block 1 Madathur
2.Thirumalapuram 999.OVERSEAS ELECTORS",General,Panchayat  Union Primary School  Additional  Building,Thirumalapuram.,dravida munnetra kazhagam,195,90,105,all india anna dravida munnetra kazhagam,2,4,1,7,7,13,3,7,7,6,7,13,13,13,5,7,22.72727272727273,9
128,260,31,36,0,0,2,0,2,140,0,9,1,0,0,2,0,5,2,0,0,490,0,0,490,0,"Panchayat  Union High School,  Western   Building, Ettankulam.","1.Block 2 North Street
2.Block 3 Keela Street,  Nallaperumal  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union High School,  Western   Building",Ettankulam.,all india anna dravida munnetra kazhagam,260,140,120,tamilaga vettri kazhagam,1,4,3,10,10,6,2,9,10,10,6,10,5,6,10,10,24.48979591836735,10
129,305,85,30,0,0,0,0,0,117,0,1,0,0,1,0,2,7,0,1,0,549,0,2,551,0,"Panchayat  Union High School,  North   Building,   (Middle Portion)  Ettankulam.","1.Block 4 South Street
2.Block 5 Sudalaiandi  Kovil  Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union High School,  North   Building",(Middle Portion)  Ettankulam.,all india anna dravida munnetra kazhagam,305,117,188,tamilaga vettri kazhagam,1,3,4,9,9,9,2,9,9,7,9,6,5,9,7,9,34.24408014571949,11
130,285,69,108,1,0,0,2,4,249,1,2,2,0,0,5,3,5,1,0,0,737,0,3,740,0,"Hindu Primary School,  Pudur.","1.Ward 1 Pillaiyar  Kovil  Street
2.Ward 1 Bharathiyar  North Street 999.OVERSEAS ELECTORS",General,Hindu Primary School,Pudur.,all india anna dravida munnetra kazhagam,285,249,36,tamilaga vettri kazhagam,1,4,3,10,12,7,2,9,12,12,5,8,5,10,12,12,4.884667571234735,16
131,73,29,80,2,0,1,1,0,148,0,35,0,0,0,1,0,1,0,2,0,373,0,5,378,0,Anganwadi  Centre  -  Centre  Number  -0226   Pudur,"1.Ward 2 Thiruvalluvar  Street
2.Ward 2 Ambedkar  Street 999.OVERSEAS ELECTORS",General,Anganwadi  Centre  -  Centre  Number  -0226   Pudur,Anganwadi  Centre  -  Centre  Number  -0226   Pudur,tamilaga vettri kazhagam,148,80,68,dravida munnetra kazhagam,3,4,2,5,9,9,1,9,9,9,7,9,7,9,5,9,18.23056300268097,4
132,82,27,105,2,1,0,0,1,150,0,67,0,0,2,0,3,2,0,1,0,443,0,0,443,0,"Saraswathi  Hindu Primary School,  Uganthanpatti.","1.Ward 2 Subramaniyapuram
2.Ward 2   North Street  Uganthanpatti
3.Ward 2   South Street  Uganthanpatti
4.Ward 2   Colony Street  Uganthanpatti 999.OVERSEAS ELECTORS",General,Saraswathi  Hindu Primary School,Uganthanpatti.,tamilaga vettri kazhagam,150,105,45,dravida munnetra kazhagam,3,4,2,6,9,9,1,12,12,6,12,5,6,12,9,12,10.15801354401806,8
133,65,35,148,0,1,0,0,0,131,0,120,2,1,0,0,1,0,0,0,0,504,0,2,506,0,"Hindu Primary School,  North Portion,  Vallavankottai.","1.Ward 1 Mariamman Kovil  Street
2.Ward 1 Amman Kovil  Street
3.Ward 1,2 Middle  Street
4.Ward 2 Puliyamara Street
5.Ward 2 Oorachimandra Street
6.Ward 2 Colony Street
7.Ward 2 West  Street 999.OVERSEAS ELECTORS",General,"Hindu Primary School,  North Portion",Vallavankottai.,dravida munnetra kazhagam,148,131,17,tamilaga vettri kazhagam,3,4,1,9,6,9,2,5,6,9,9,6,9,9,9,9,3.373015873015873,4
134,122,44,157,1,0,1,0,1,205,2,97,1,1,3,3,1,1,0,0,0,640,0,2,642,0,"Hindu Primary School,  South   Portion Vallavankottai.","1.Ward 1 East  Street  Thulukkarpatti
2.Ward 1 West  Street  Thulukkarpatti
3.Ward 1 Colony Street  Thulukkarpatti 999.OVERSEAS ELECTORS",General,Hindu Primary School,South   Portion Vallavankottai.,tamilaga vettri kazhagam,205,157,48,dravida munnetra kazhagam,3,4,2,7,13,7,1,7,7,5,5,7,7,13,13,13,7.5,10
135,47,51,109,1,1,2,0,0,230,3,122,0,0,1,1,3,3,2,2,2,580,0,3,583,0,"Panchayat  Union Primary School,  Northern Building, Rastha.","1.Pillaiyar  Kovil  Street
2.Pound Street
3.Esakkiamman Kovil  Street
4.Amman Kovil  Street
5.Perumal  Kovil  South Street
6.Perumal  Kovil  North Street
7.Colony East  Street
8.Colony West  Street
9.Colony North Street
10.Colony Middle  Street
11.Colony South Street
12.Pillayar  Kovil  Street  2
13.Colony South Street  2 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  Northern Building",Rastha.,tamilaga vettri kazhagam,230,109,121,dravida munnetra kazhagam,4,3,2,10,10,14,1,14,14,10,10,5,5,7,7,7,20.86206896551724,14
136,31,43,110,1,1,0,1,1,69,5,232,3,0,2,2,1,2,0,0,0,504,0,1,505,0,"Panchayat  Union Primary School,  West  Building,  Rastha.","1.East  Street
2.Pillaimar  Street
3.Veda kovil  South Street
4.Kombumadansamy Kovil  Street  Back Side
5.Kombumadansamy Kovil  Street
6.Water  Tank Street 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  West  Building",Rastha.,dravida munnetra kazhagam,110,69,41,tamilaga vettri kazhagam,4,3,1,9,9,9,2,5,13,6,6,9,6,13,13,13,8.134920634920634,10
137,141,59,77,1,1,2,0,1,189,0,187,2,1,0,2,0,2,0,0,0,665,0,2,667,0,"Panchayat  Union Primary School,  Southern Building, Rastha.","1.Vedakovil  Street
2.Amman Kovil  Street  1
3.South Street  1
4.Devar  Colony
5.Harijana Quarters South Street
6.Pillaiyar  Kovil  Street
7.Amman Kovil  Street  2
8.Middle  Street
9.Ration Shop Street 10Pillaiyar  Kovil  Street  2 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  Southern Building",Rastha.,tamilaga vettri kazhagam,189,141,48,all india anna dravida munnetra kazhagam,2,4,3,8,8,8,1,5,8,12,5,12,5,12,12,12,7.218045112781955,7
138,110,66,118,4,0,0,1,1,160,2,239,2,1,1,0,2,3,0,0,2,712,0,1,713,0,"Panchayat  Union Middle  School,  Middle  Building,  Rastha.","1.Asari  Street
2.Poolidevar  Street
3.Vannar  Street
4.Vedakovil  North Street
5.Pallivasal  Street
6.West  Street
7.South Street  2
8.East  Street
9.Arungankulam Kudieruppu 999.OVERSEAS ELECTORS",General,"Panchayat  Union Middle  School,  Middle  Building",Rastha.,tamilaga vettri kazhagam,160,118,42,dravida munnetra kazhagam,3,4,2,5,13,10,1,7,10,10,13,7,6,13,13,7,5.898876404494382,11
139,138,46,181,1,0,1,0,0,153,1,170,1,0,0,0,3,3,1,4,0,703,0,1,704,0,"Panchayat  Union Primary School,  New Building, Sethurayanpudur.","1.Ward 1 North Street  Devar  Paguthy
2.Ward 1 North Street
3.Ward 2 Selvanayagam Street
4.Ward 1 South Street
5.Ward 1 Nadar  Street
6.Ward 1 Kaspa Middle  Street
7.Ward 2 Adidiravidar  Colony
8.Industrial
9.Main Road 999.OVERSEAS ELECTORS",General,"Panchayat  Union Primary School,  New Building",Sethurayanpudur.,dravida munnetra kazhagam,181,153,28,tamilaga vettri kazhagam,3,4,1,8,11,11,2,8,11,11,11,6,6,8,5,11,3.982930298719772,12
140,114,47,175,2,0,0,0,0,164,0,44,0,1,1,1,2,3,0,1,1,556,0,0,556,0,"T.D.T.A Middle  School,  Northern Portion,  Nanjankulam.","1.Pillaiyar  Kovil  Street
2.North Street 999.OVERSEAS ELECTORS",General,"T.D.T.A Middle  School,  Northern Portion",Nanjankulam.,dravida munnetra kazhagam,175,164,11,tamilaga vettri kazhagam,3,4,1,6,13,13,2,13,8,8,8,6,5,13,8,8,1.97841726618705,10
141,114,68,237,5,0,0,0,1,183,0,53,3,0,2,1,0,1,1,2,0,671,0,4,675,0,"T.D.T.A Middle  School,  Southern Portion,  Nanjankulam","1.Middle  Street
2.Church Street 999.OVERSEAS ELECTORS",General,"T.D.T.A Middle  School,  Southern Portion",Nanjankulam,dravida munnetra kazhagam,237,183,54,tamilaga vettri kazhagam,3,4,1,5,13,9,2,6,13,7,9,13,9,9,7,13,8.047690014903129,10
142,109,56,115,0,0,1,0,3,186,0,19,2,1,0,1,3,2,0,2,1,501,0,0,501,0,T.D.T.A Primary School  Entrance  Reoom Vepankulam,1.Ward 4 Veppankulam 999.OVERSEAS ELECTORS,General,T.D.T.A Primary School  Entrance  Reoom Vepankulam,T.D.T.A Primary School  Entrance  Reoom Vepankulam,tamilaga vettri kazhagam,186,115,71,dravida munnetra kazhagam,3,4,2,13,13,5,1,7,10,13,10,5,7,13,7,10,14.17165668662675,12
143,83,37,188,0,0,1,0,1,417,0,55,4,0,1,1,0,0,0,2,1,791,0,1,792,0,Anganwadi  Centre  Arasu New Colony Ramayanpatti Panchayat,1.Arasu puthu colony   sivaji   Nagar 999.OVERSEAS ELECTORS,General,Anganwadi  Centre  Arasu New Colony Ramayanpatti Panchayat,Anganwadi  Centre  Arasu New Colony Ramayanpatti Panchayat,tamilaga vettri kazhagam,417,188,229,dravida munnetra kazhagam,3,4,2,11,11,7,1,5,11,7,7,11,11,11,6,7,28.95069532237674,9
144,169,55,114,1,1,0,0,0,216,0,6,0,0,0,1,0,4,1,1,1,570,0,2,572,0,"Adidiravidar  Primary School,  North Portion,  west  Side Ramayanpatti.",1.Ward 5 Biramin Pillaimar  Street 999.OVERSEAS ELECTORS,General,"Adidiravidar  Primary School,  North Portion",west  Side Ramayanpatti.,tamilaga vettri kazhagam,216,169,47,all india anna dravida munnetra kazhagam,2,4,3,6,6,12,1,12,12,12,6,12,5,6,6,6,8.24561403508772,8
145,51,26,59,0,0,0,1,0,116,1,2,0,0,0,1,0,0,0,0,1,258,0,1,259,0,"Adidiravidar  High School,   East  Building   1st  Room Ramayanpatti.",1.Ward 7 Yathavar  Street 999.OVERSEAS ELECTORS,General,Adidiravidar  High School,East  Building   1st  Room Ramayanpatti.,tamilaga vettri kazhagam,116,59,57,dravida munnetra kazhagam,3,4,2,7,7,7,1,7,7,7,5,7,7,7,7,5,22.09302325581395,2
146,176,78,211,2,0,0,1,4,363,1,13,0,0,0,1,1,0,1,0,0,852,0,4,856,0,"Adidiravidar  Primary School,  South Portion,  west  Side Ramayanpatti.",1.Ward 10 Sanku Muthammalpuram 999.OVERSEAS ELECTORS,General,"Adidiravidar  Primary School,  South Portion",west  Side Ramayanpatti.,tamilaga vettri kazhagam,363,211,152,dravida munnetra kazhagam,3,4,2,6,10,5,1,10,10,10,7,7,10,7,10,10,17.84037558685446,3
