Serial No. Of Polling Station,Locality,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
38,Chithambarampatti,"1.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block
2.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block  2  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,27,4.623287671232877
53,Ayyanaroothu,"1.Ayyanaroothu  (R.V)  And  (P)  North  street  Block  1  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,22,2.937249666221629
59,South Elanthaikulam,"1.Therku  elanthaikulam  (R.V)  And  (P)  Therku  Elanthaikulam  Block  1  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,3,0.5128205128205128
60,Aatthikulam,"1.Therku  Elanthaikulam  (R.V)  And  (P)  Ramalingam  Block  3  2.Therku Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  4  ,  3.Therku Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  5  ,  ,999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,8,1.054018445322793
63,Rajapudhukudi,"1.Rajapudhukudi  (R.V)  And  (P)  Rajapudhukudi  Block  1  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Independent,9,1.495016611295681
65,Rajapudukudi,"1.Sannathu  puthukudi  (R.V)  And  (P)  Sannathu  puthukudi  Block  1  ,
2.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  2  ,
3.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  3  ,
4.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  4  ,
5.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  5  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,9,1.155327342747112
66,Therkumayilodai,"1.Therkumaillodai  (R.V)  And  (P)  Therkumaillodai  Brlock  1  , 2.TherkuMaillodai  (R.V)  And  (P)  TherkuMaillodai  Block  2  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Independent,20,3.284072249589491
69,Kayathar,"1.Kayathar  (F.G.T.P)  Pillaiarkovil  street  ward  1  ,  2.Kayathar  (F.G.T.P) Sakthi  Vinayagar  Kovil  Street  ,  3.Kayathar  (F.G.T.P)  Indhira  Nagar  ,
4.Kayathar  (F.G.T.P)  KottaiPillaiar  Kovil  Street  Ward  2  ,  999.OVERSEAS
ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,29,4.625199362041467
70,Kayathar,"1.Kayathar  (F.G.T.P)  Theyagaraja  Bhawather  Street  ,  2.Kayathar  (F.G.T.P) RajaKovil  Street  ,  3.Kayathar  (F.G.T.P)  LurdumathaKovil  Street  ,
4.Kayathar  (F.G.T.P)  Ambalavanar  Street  8  ,  5.Kayathar  (F.G.T.P) Sudalaimadan  Kovil  Street  Ward  ,  6.Kayathar  (F.G.T.P)  KatturajaStreet  ,
7.Kayathar  (F.G.T.P)  Upatheiyar  Kennatru  Theru  ,  8.Kayathar  (F.G.T.P) Kalaivanarstreet  ,  9.Kayathar  (F.G.T.P)  Kaliamman  Kovil  Street  ,
999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,24,4.347826086956522
73,Kayathar,"1.Kayathar  (F.G.T.P)  Bharathiar  Street  ,  2.Kayathar  (F.G.T.P)  Jawaherlal Street  ,  3.Kayathar  (F.G.T.P)  Kadamboor  Street  ,  4.Kayathar  (F.G.T.P) Sathiram  Ward  6  ,  5.Kayathar  (F.G.T.P)  Subregister  Office  Street  ,
6.Kayathar  (F.G.T.P)  Nanthavanathu  Kenatru  Street  ,  7.Kayathar
(F.G.T.P)  Mutharamman  Kovil  North  Street  ,  8.Kayathar  (F.G.T.P) Mutharamman  Kovil  Street  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,19,3.67504835589942
77,Kayathar,"1.Kayathar  (F.G.T.P)Ward  8  China  pillaiar  Kovil  Street  ,  2.Kayathar
(F.G.T.P)  Hospital  Road  ,  3.Kayathar  (F.G.T.P)  Ward  8  Aarokkamatha
Vadaku  Street  ,  4.Kayathar  (F.G.T.P)  Ward  8  AarokyaMathaKovil  Street  ,
5.Kayathar  (F.G.T.P)  Shanthana  Matha  Kovil  North  Street  ,  6.Kayathar (F.G.T.P)  Shanthana  MathaKovil  Street  ,  7.Kayathar  (F.G.T.P)  Ward  8 Muthuramalinganar  Street  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,24,4.332129963898916
79,Kayathar,"1.Kayathar  (F.G.T.P)  North  subramaniyapuram  ,  2.Kayathar  (F.G.T.P) Ward  12  Subramaniyapuram  South  ,  3.Kayathar  (F.G.T.P)  Rajiv  Nagar  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,2,0.2293577981651376
80,Kayathar,"1.Kayathar  (F.G.T.P)  Ward  12  North  Subramaniyapuram  Kalani  ,
2.Kayathar  (F.G.T.P)  Ward  12  Bharathinagar  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Independent,8,1.716738197424893
88,Kumaragiri,"1.Kapulingampatti  (R.V)  And  (P)  Kumarageri  Block  3  ,  2.Kappulingampatti (R.V)  And  (P)  Avudaiammalpuram  Block  4  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Independent,7,1.674641148325359
96,Kadamboor,"1.Kadamboor  (S.P)  Bharathiveethiward  1  ,  2.Kadamboor  (S.P)
Bharathiveethi  sandu  1  ward  1  ,  3.Kadamboor  (S.P)  Bharathiveethi  sand 2  ward  1  ,  4.Kadamboor  (S.P)  Bharathiveethi  sandu  4  ward  1  , 5.Kadamboor  (S.P)  Bharathiveethi  sandu  3  ward  1  ,  6.Kadamboor  (S.P)
Bharathiveethi  sandu5  ward  1  ,  7.Kadamboor  (S.P)  Bharathiveethi  sandu 6  ward  1  ,  8.Kadamboor  (S.P)  Kumaran  Veethi  ward  2  ,  9.Kadamboor
(S.P)  Thangammalpuram  ward  2  ,  10.Kadamboor  (S.P)  Kaliamman
KovilStreet  ward  3  ,  11.Kadamboor  (S.P)  Kaliamman  KOvil  Street  3  Ward 2  ,  12.Kadamboor  (S.P)  Kaliamman  Kovil  Street  4  Ward  4  ,  13.Kadamboor (S.P)  Kaliamman  Kovil  Street  5  ward  4  ,  14.Kadamboor  (S.P)  Kaliamman Kovil  Street  6  ward  4  ,  15.Kadamboor  (S.P)  Kaliamman  Kovil  Sandu  1 ward  3  ,  16.Kadamboor  (S.P)  Kaliamman  kovil  sandu  2  ward  3  , 17.Kadamboor  (S.P)  Keelarathaveethi  ward  3  ,  18.Kadamboor  (S.P)
Keelarathaveethi  sandu  1  ward  3  ,  19.Kadamboor  (S.P)  Keelarathaveethi sand  2  ward  3  ,  20.Kadamboor  (S.P)  Railway  Station  Road  -  ward  4  , 21.Kadamboor  (S.P)  Vadakku  bazar  ward  4  ,  22.Kadamboor  (S.P)
Vadakkurathaveethi  ward  4  ,  23.Kadamboor  (S.P)  Central  bazhar  ward  5  , 24.Kadamboor  (S.P)  Sekkaditheru  ward  5  ,  25.Kadamboor  (S.P)
Keelarathavethei  ,  26.Kadamboor  (S.P)  Mariamman  Kovil  Nadutheru  ward 5  ,  27.Kadamboor  (S.P)  Keelarathaveethi  sandu  ward  5  ,  28.Kadamboor
(T)  Periyandawar  Koviltheru  ward  5  ,  29.Kadamboor  (s.p)  Kayathar  road ward  7  ,  30.Kadamboor  (S.P)  Garvei  Road  ward  7  ,  31.Kadamboor  (S.P)
Subregister  OfficeStreet  ward  7  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,40,4.140786749482402
107,Idaisevel,"1.Idaiseval  (R.V)  And  (P)  Idaiseval  Block  1  ,  2.Idaiseval  (R.V)  And  (P)  Adhi Diravidar  Colony  Block  1  ,  3.Idaiseval  (R.V)  And  (P)  Parvathy  Amman
Kovil  Street  Block  3  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,6,0.8368200836820083
111,Manthithoppu,"1.Manthithoppu(R.V)  And  (P)  Manthithoppu  block  1  ,
2.Manthithoppu(R.V)  And  (P)  Manthithoppu  Block  3  ,  999.OVERSEAS ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,29,3.452380952380953
113,Manthithoppu,"1.Manthithoppu  (R,V)  And  (P)  Manthithoppu  (narikkuravar  utpada)  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,24,3.394625176803395
114,Manthithoppu,"1.Manthithoppu  (R,V)  And  (P)  Manthithoppu  (narikkuravar  utpada)  , 999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,26,3.730272596843615
117,Mudukkumeendanp atti,"1.Mudukkumendan  patti  (R.V)  And  (P)  Mudukkumendanpatti  ward  1  , 2.Mudukkumendan  patti  (R.V)  And  (P)  Gopalapuram  Ward  4  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,31,3.785103785103785
118,Mudukkumeendanp atti,"1.Mudukkumendan  patti  (R.V)  And  (P)  Mudukkumendanpatti  Ward  2  , 2.Mudukkumendan  patti  (R.V)  And  (P)  M.Duraisamypuram  Ward  3  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,24,3.761755485893417
119,Nalattinputhur,"1.Naleattenputhdur  (R.V)  And  (P)  Naleattenputhdur  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,5,0.562429696287964
120,Nalattinputthur,"1.Naleattenputhdur  (R.V)  And  (P)  Naleattenputhdur  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,8,0.9791921664626682
122,Nallattinputthur,"1.Naleattenputhdur(R.V)  And  (P)  Naleattenputhdur  block  3  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,0.7564296520423601
125,Thonugal,"1.Thonugal  (R.V)  And  (P)  Mela  Street  Block  2  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,3.663003663003663
151,Illuppaiyurani,"1.Elupaiyurani  (A.V)  And  (P)  Elupaiyurani  block  1  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,2,0.4008016032064128
160,Illuppaiyurani,"1.Elupaiyurani  (R.V)  And  (P)  Elupaiyurani  block  2  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,14,2.573529411764706
162,Koosalipatti,"1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,30,4.815409309791333
163,Koosalipatti,"1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,30,3.409090909090909
164,"Poosaripatti, Koosalipatti","1.Elupaiyurani  (R.V)  And  (P)  Coosalipatti  Block  3(Part)  ,  2.Elupaiyurani (R.V)  And  (P)  Poosaripatti  Block  4  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,23,4.65587044534413
165,Lingampatti,"1.Lingampatti  (R.V)  And  (P)  North  Street  Block  1  ,  2.Lingampatti  (R.V)  And
(P)  MelaStreet  Block  2  ,  3.Lingampatti  (R.V)  And  (P)  KeelaStreet  Block  2  , 4.Lingampatti  (R.V)  And  (P)  Samathuva  puram  Block  2  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,33,3.909952606635071
166,Lingampatti,"1.Lingampatti  (R.V)  And  (P)  Mettu  Street  Block  2  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,36,4.342581423401689
169,Illuppaiyurani,"1.Elupaiurani  (R.V)  And  (P)  Loyal  mill  colony  block  5  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,17,2.97723292469352
177,Shanmuga  Nagar Therkku Thittankulam,"1.Thittankulam  (R.V)And  (P)  Thozhil  Pettai  Block  1  ,  2.Thittankulam (R.V)And  (P)  Shanmuga  Nagar  block  1  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,22,3.928571428571428
180,Vadakku Thittankulam,"1.Thittankulam(R.V)  And(P)  MariappaNadar  Colony  Block  1  , 2.Thittankulam(R.V)  And  (P)  Poondhthota  Colony  Block  1  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,11,2.040816326530612
185,Therku Thittankulam,"1.SouthThittankulam  Street  (R.V)  And  (P)  Kaliammmankovil  Street  Block 3  ,  2.SouthThittankulam  Street  (R.V)  And  (P)  NehrujiColony  Block  3  , 3.SouthThittankulam  Street  (R.V)  And  (P)  Mela  Colony  (New  Colony)Block 3  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,20,2.317497103128621
188,Gandhi  Nagar Kovilpatti,"1.Kovilpatti  (m)  Atthaikondan  road  ward  2,2.Kovilpatti  (m)  Atthaikondan Salai  ward  3.Kovilpatti  (M)  Gandhi  Nagar  Street  No1,Ward  2  4.Kovilpatti
(M)  Gandhi  Nagar  2nd  Street  Ward  2  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,29,4.011065006915629
189,Kovilpatti,"1.Kovilpatti  (M)  Natarajapuram  Street  Door  No.1to  50  Ward  3,  2.Kovilpatti
(M)  Natarajapuram  Street  Door  No.51  to  100  Ward  3  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,29,3.27683615819209
192,Kovilpatti,"1.Kovilpatti  (M)  Gopal  Street  Ward  2  ,  2.Kovilpatti  (M)  Elaiyarasanandal Road  Ward  24  ,  3.Kovilpatti  (M)  Sathiram  North  Street  Ward4  ,
4.Kovilpatti  (M)  Sathiram  East  Street  Ward  4  ,  5.Kovilpatti  (M)
Krishnankovil  Street  Ward  4  ,  6.Kovilpatti  (M)  Pannai  Thottam  Road  Ward 4  ,  7.Kovilpatti  (M)  Saramariamman  Kovil  Street  No  1  Ward  23  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,3.191489361702128
193,Kovilpatti,"1.Kovilpatti  (M)  SaramariammanKovil  Street  No  2  Ward  4  ,  2.Kovilpatti
(M)  Jameenpettai  Street  Ward  23  ,  3.Kovilpatti  (M)  Periyar  Street  1  Ward 23  ,  4.Kovilpatti  (M)  Periyar  Street  2  Ward  23  5.Kovilpatti  (M)  Main  Road Ward  4  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,30,3.525264394829612
194,Kovilpatti,"1.Kovilpatti  (M)  Sankaralingapuram  South  Street  1  Ward  5  ,  2.Kovilpatti
(M)  Sankaralingapuram  Nadu  Street  Ward  5  ,  3.Kovilpatti  (M)  Main  Road Ward  5  ,  4.Kovilpatti  (M)  Oodai  East  Street  Ward  5  ,  5.Kovilpatti(M) Sankaralingapuram  South  street  2  ward  5  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,2,0.2430133657351154
195,Kovilpatti,"1.Kovilpatti  (M)  Sankaralingapuram  East  Street  Ward  5  ,  2.Kovilpatti  (M) Sankaralingapuram  East  Street  No  2  Ward  5  ,  3.Kovilpatti  (M)  Thari  Office Street  Ward  5  ,  4.Kovilpatti  (M)  Gopalapuram  Street  Ward5  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,0.6793478260869565
196,Kovil  patti,"1.Kovilpatti  (m)  Sankaralingapuram  North  Street  Ward  5  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,10,1.328021248339973
198,Kovilpatti,"1.Kovilpatti  (M)  Velayuthapuram  Nadu  Street  Ward  6  ,  2.Kovilpatti  (M) Velayuthapuram  3rdStreet  Ward  6  ,  3.Kovilpatti  (M)  Main  Road  Ward  6  , 4.Kovilpatti  (M)  Agriculture  Form  Ward  6  ,  5.Kovilpatti  (M) Velayuthapuram  6th  Street  Ward  6  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,9,1.032110091743119
206,Pudugramam Kovilpatti,1.Kovilpatti  (m)  Thiruvalluvar  nagar  street1  ward  9  Door  No.  101  above Sl.No.743  to  1466)  999.OVERSEAS  ELECTORS,Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,24,4.624277456647398
214,Kovilpatti,"1.Kovilpatti  (m)  Thiruvalluvar  nagar  street  3  ward  9  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,27,4.900181488203267
219,Bunglow  street Kovilpatti,"1.Kovilpatti  (M)  E.S.I.  kalani  ward  12  ,  2.Kovilpatti  (M)  Hussain  Street Ward  11  ,  3.Kovilpatti  (M)  Palaniandaver  Koil  Street  Ward  11, 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,5,1.123595505617978
221,New  Road  Kovilpatti,"1.Kovilpatti  (M)  Bangala  Street  5  Ward  11  , 2.Kovilpatti  (M)  Bangala  Street  4  Ward  11  , 3.Kovilpatti  (M)  Bangala  Street  3  Ward  11  , 4.Kovilpatti  (M)  Bangala  Street  Ward  6  ,
5.Kovilpatti  (M)  Perumal  Street  Ward  15  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,5,1.333333333333333
225,Kovilpatti,"1.Kovilpatti  (M)  Thanukkodiayapuram  Pilaiar  Kovil  tenvadal  Sandu  , 2.Kovilpatti  (M)  Patirakaliamman  koil  street  ward  16  ,  3.Kovilpatti  (M) Kadalikaratheru  North  line  ward  16  ,  4.Kovilpatti  (M)  Kadalikarastreet North  line  ward  17  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,33,4.236200256739409
230,Kovilpatti,"1.Kovilpatti  (M)  Chekadi  street  1  ward  17  ,  2.Kovilpatti  (M)  Karuppsamy kovilStreet  ward  16  ,
3.Kovilpatti  (M)  Bharathidosan  Street  Ward  20  ,
4.Kovilpatti  (M)  Oorani  mela  Street  ward  20,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,11,3.323262839879154
234,Kovilpatti,"1.Kovilpatti  (m)  South  bazhar  ward  18  ,  2.Kovilpatti  (M)  Mudukkthstreet  1 ward  18  ,  3.Kovilpatti  (M)  Mudukkuth  Street  2  ward  18  ,  4.Kovilpatti  (M) Vilvamarathadi  sandu  Ward  18  ,  5.Kovilpatti  (M)  Kangayankovilstreet Ward  18  ,  6.Kovilpatti  (M)  Kasukkarastreet  Ward  18  ,  7.Kovilpatti  (M)
Melarathaveethi  Ward  22  ,  8.Kovilpatti  (M)  Kannivinayagarkovil  street
ward  22  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,1,0.1488095238095238
237,Kovilpatti,"1.Kovilpatti  (m)  Dhasinamoorthi  kovil  street  ,  2.Kovilpatti  (M)  Srinivasa agirakaram  ,  3.Kovilpatti  (M)  Mainroad  ,  4.Kovilpatti  (M)  Dalduraibangala street  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,7,1.15702479338843
