Serial No. Of Polling Station,All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,Naam Tamilar Katchi,Bahujan Samaj Party,Naam Indiar Party,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,Thamizh Perarasu Katchi,Tamilaga Vettri Kazhagam,Puthiya Makkal Tamil Desam Katchi,Independent,Independent.1,Independent.2,Independent.3,Independent.4,Independent.5,Independent.6,Independent.7,Independent.8,Independent.9,Independent.10,Independent.11,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes,Locality,Building in Which it will be Located,Polling Area,Whether for all Voters or men olny or women only,Total_Valid_Votes_Clean,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Of_Victory,Runner_Up_Party,Dravida Munnetra Kazhagam_Rank,All India Anna Dravida Munnetra Kazhagam_Rank,Naam Tamilar Katchi_Rank,Tamilaga Vettri Kazhagam_Rank,Bahujan Samaj Party_Rank,Naam Indiar Party_Rank,All India Puratchi Thalaivar Makkal Munnettra Kazhagam_Rank,Thamizh Perarasu Katchi_Rank,Puthiya Makkal Tamil Desam Katchi_Rank,Independent_Rank,Independent.1_Rank,Independent.2_Rank,Independent.3_Rank,Independent.4_Rank,Independent.5_Rank,Independent.6_Rank,Independent.7_Rank,Independent.8_Rank,Independent.9_Rank,Independent.10_Rank,Independent.11_Rank,Margin_Percentage,Total_Independent_Votes
35,160,281,28,0,0,0,1,289,0,2,0,0,0,0,2,2,6,4,0,1,0,776,0,2,778,0,Kattarankulam,"R.C.Primary  School  ,  Main  Building  , Kattarankulam.","1.Kattarankulam  (R.V)And  (P)  Chekkadi  street  Block  1  ,  2.Kattarankulam (R.V)  And  (P)  Muthuthalamman  Kovil  Street  Block  1  ,  3.Kattarankulam
(R.V)  And  (P)  East  Street  Block  1  ,  4.Kattarangkulam  (R.V)  And  (P) Chettiar  street  Block  1  ,  5.Kattarankulam  (R.V)  And  (P)  North  Street  Block 1  ,  6.Kattarankulam  (R.V)  And  (P)  South  Colony  Block  1  , 7.Kattarankulam  (R.V)  And  (P)  North  Colony  Block  1  ,  8.Kattarankulam
(R.V)  And  (P)  Nadar  Street  Block  2  ,  9.Kattarankulam  (R.V)  And  (P)  Middle Street  Block  2  ,  10.Kattarankulam  (R.V)  And  (P)  R.C.Street  Block  3  , 11.Kattarankulam  (R.V)  And  (P)  South  Street  Block  3  ,  12.Kattarankulam
(R.V)  And  (P)  Saravanapuram  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,776,Tamilaga Vettri Kazhagam,289,281,8,Dravida Munnetra Kazhagam,2,3,4,1,12,12,12,10,12,7,12,12,12,12,7,7,5,6,12,10,12,1.030927835051546,17
36,126,191,25,1,0,1,1,183,0,2,0,1,0,1,0,0,2,3,0,0,1,538,0,2,540,0,Kattarankulam,"Community  Hall,  Kattarankulam.","1.Kattarankulam  (R.V)  And  (P)  Ahilandapuram  2.Kattarankulam  (R.V) And  (P)  Saravanpuram  ,
3.Kattarankulam  (R.V)  And  (P)  Kayatharu  ,
999.OVERSEAS  ELECTORS",All  Voters,538,Dravida Munnetra Kazhagam,191,183,8,Tamilaga Vettri Kazhagam,1,3,4,2,8,14,8,8,14,6,14,8,14,8,14,14,6,5,14,14,8,1.486988847583643,10
37,135,113,22,1,0,1,0,144,0,0,0,0,0,0,0,1,0,1,1,0,0,419,0,0,419,0,Pudhupatti,"Panchayat  Union  Primary  School, Pudhupatti","1.Kattarankulam  (R.V)  And  (P)  Avudaiammalpuram  , 2.Kattarankulam  (R.V)  And  (P)  Pudhupatti  ,
3.  Kattarankulam  (R.V)  And  (P)  Ramnathapuram  ,
999.OVERSEAS  ELECTORS",All  Voters,419,Tamilaga Vettri Kazhagam,144,135,9,All India Anna Dravida Munnetra Kazhagam,3,2,4,1,5,10,5,10,10,10,10,10,10,10,10,5,10,5,5,10,10,2.147971360381861,3
38,176,203,22,0,0,5,2,158,0,6,0,0,0,0,2,2,4,3,0,0,1,584,0,1,585,0,Chithambarampatti,"Panchayat  Union  Primary  School,  East Building  East  Side,  Chithambarampatti.","1.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block
2.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,584,Dravida Munnetra Kazhagam,203,176,27,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,13,13,6,9,13,5,13,13,13,13,9,9,7,8,13,13,12,4.623287671232877,18
39,128,154,14,0,1,1,2,70,0,1,0,0,0,0,1,1,1,4,0,0,0,378,0,1,379,0,Chithambarampatti.,"Panchayat  Union  Primary  School,  West Building  West  Side,  Chithambarampatti.","1.Chidambarampatti  (R.V)  And  (P)  Chidambarampatti  Block  3  , 999.OVERSEAS  ELECTORS",All  Voters,378,Dravida Munnetra Kazhagam,154,128,26,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,13,7,7,6,13,7,13,13,13,13,7,7,7,5,13,13,13,6.878306878306878,8
40,148,197,30,0,0,7,1,141,0,1,0,0,0,0,2,2,3,0,0,1,0,533,0,2,535,0,Chettikurchi,"Hindu  Nadar  Middle  School  ,  North  Side
,Chettikurchi.","1.Chettikurichi  (R.V)  And  (P)  North  street  Block  1  ,  2.Chettikurichi  (R.V) And  (P)  Mariamman  kovil  Street  Block  1  ,  3.Chettikurichi  (R.V)  And  (P) Middle  Street  Block  1  ,  4.Chettikurichi  (R.V)  And  (P)  Main  Street  Block  1  , 5.Chettikurichi  (R.V)  And  (P)  Nadar  Street  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,533,Dravida Munnetra Kazhagam,197,148,49,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,12,12,5,9,12,9,12,12,12,12,7,7,6,12,12,9,12,9.193245778611631,9
41,89,222,38,1,1,2,2,136,2,3,1,1,1,0,3,3,0,1,0,0,0,506,0,0,506,0,Chettikurchi,"Hindu  Nadar  Middle  School  ,  East  Side  Old building  ,  Chettikurichi.","1.Chettikurichi  (R.V)  And  (P)  Muthukrishnan  Colony  Block  2  ,
2.Chettikurichi  (R.V)  And  (P)  East  Street  Block  2  ,  3.Chettikurichi  (R.V) And  (P)  Vedha  Kovil  Street  Block  2  ,  4.Chettikurichi  (R.V)  And  (P) Ramadass  Colony  Block  2  ,  5.Chettikurichi  (R.V)  And  (P)  South  Colony Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,506,Dravida Munnetra Kazhagam,222,136,86,Tamilaga Vettri Kazhagam,1,3,4,2,11,11,8,8,8,5,11,11,11,17,5,5,17,11,17,17,17,16.99604743083004,13
42,186,237,21,0,0,3,0,133,0,35,0,0,0,2,2,1,1,5,0,0,0,626,0,0,626,0,Therkku  Konnar Kottai,"St.  Marys  High  School  ,  Therkku  Konnar Kottai.","1.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  School  Street  , 2.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  Middle  Street  , 3.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  South  Street  , 4.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  West  Street  ,
5.Chettikurichi  (R.V)  And  (P)  SouthKonarKottai  Adi  dravedar  Colony  ,
999.OVERSEAS  ELECTORS",All  Voters,626,Dravida Munnetra Kazhagam,237,186,51,All India Anna Dravida Munnetra Kazhagam,1,2,5,3,12,12,7,12,12,4,12,12,12,8,8,10,10,6,12,12,12,8.146964856230031,46
43,145,246,37,1,1,2,0,122,0,145,1,0,2,4,1,1,1,2,0,0,0,711,0,3,714,0,"Vadakku Konarkottai,","Tamil  Baphist  Primary  School,  Vadakku Konarkottai.","1.Chettikurichi  (R.V)  And  (P)  North  konarkottai  North  street  Block  4  , 2.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  Middle  Street  Block  4  , 3.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  South  Street  Block  4  , 4.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  West  Street  Block  4  , 5.Chettikurichi  (R.V)  And  (P)  North  KonarKottai  Adi  dravedar  Colony
Block  4  ,  6.Chettikurichi  (R.V)  And  (P)  Mancha  Nambi  kineru  pillaiar  kovil
street  Block  5  ,  999.OVERSEAS  ELECTORS",All  Voters,711,Dravida Munnetra Kazhagam,246,145,101,Independent,1,2,5,4,10,10,7,16,16,2,10,16,7,6,10,10,10,7,16,16,16,14.20534458509142,157
44,154,292,61,4,0,3,0,108,2,33,0,0,1,0,4,2,2,1,0,0,0,667,0,1,668,0,Thirumangalakuruc hi,"Adi-Dravidar  Welfare  High  School,  South side  building  ,  Thirumangalakurichi.","1.Thirumangalakurichi  (R.V)  And  (P)  Pillaiar  kovil  North  street  Block  1  , 2.Thirumangalakurichi  (R.V)  And  (P)  North  Street  Block  2  ,
3.Thirumangalakurichi  (R.V)  And  (P)  South  Street  Block  2  ,
999.OVERSEAS  ELECTORS",All  Voters,667,Dravida Munnetra Kazhagam,292,154,138,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,6,14,8,14,9,5,14,14,12,14,6,9,9,12,14,14,14,20.68965517241379,43
45,91,419,39,2,0,3,0,160,0,28,0,0,0,0,0,0,1,0,0,0,0,743,0,1,744,0,Periyasamypuram,"Panchayat  Union  Primary  School  , Periyasamypuram.","1.Thirumangalakurichi  (R.V)  And  (P)  Periasamiapuram  Block  3  , 2.Thirumangalakurichi  (R.V)  And  (P)  Pallankulam,  3.
Thirumangalakurichi  (R.V)  And  (P)  Moortheeswarapuram  North  street Block  5,  4.Thirumangalakurichi  (R.V)  And  (P)  Moortheeswarapuram  block
5,  999.OVERSEAS  ELECTORS",All  Voters,743,Dravida Munnetra Kazhagam,419,160,259,Tamilaga Vettri Kazhagam,1,3,4,2,7,9,6,9,9,5,9,9,9,9,9,9,8,9,9,9,9,34.85868102288022,29
46,106,227,40,0,1,3,0,69,0,20,0,0,0,0,3,0,0,0,0,0,0,469,0,0,469,0,Olaikulam,"Panchayat  Union  Primary  School  ,Olaikulam.","1.Thirumangalakurichi  (R.V)  And  (P)  Kanganakineru  Block  6  ,
2.Thirumangalakurichi  (R.V)  And  (P)  Olaikulam  (North  side)  Block  7  , 3.Thirumangalakurichi  (R.V)  And  (P)  Olaikulam  (South  side)  Block  8  , 999.OVERSEAS  ELECTORS",All  Voters,469,Dravida Munnetra Kazhagam,227,106,121,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,9,8,6,9,9,5,9,9,9,9,6,9,9,9,9,9,9,25.79957356076759,23
47,59,538,24,0,0,11,2,80,0,1,0,2,0,1,4,1,0,2,0,0,0,725,0,3,728,0,Vellalankottai,"R.C.  Middle  School  ,  North  Side  , Vellalankottai.","1.Vellalankottai  (R.V)  And  (P)  Vellalankottai  East  street  Block  1  ,
2.Vellalankottai  (R.V)  And  (P)  Vellalankottai  Middle  Street  Block  2  ,
3.Vellalan  kottaiah  (R.V)  And  (P)  Vellalan  kottaiah  South  Street  Block  3  ,
4.Vellalan  kottai  (R.V)  And  (P)  Vellalan  kottai  West  Street  Block  4  , 999.OVERSEAS  ELECTORS",All  Voters,725,Dravida Munnetra Kazhagam,538,80,458,Tamilaga Vettri Kazhagam,1,3,4,2,13,13,5,7,13,10,13,7,13,10,6,10,13,7,13,13,13,63.17241379310344,11
48,97,237,56,3,0,5,0,81,0,8,0,0,0,1,1,1,1,2,3,0,0,496,0,0,496,0,Vellalankottai,"R.C.Middle  School,  South  Side  , Vellalankottai.","1.Vellalankottai  (R.V)  And  (P)  Suriyaminukkan  Middle  street  Block  5  , 2.Vellalankottai  (R.V)  And  (P)  Suriyamenukkan  South  Street  Block  6  , 3.Vellalankottai  (R.V)  And  (P)  Maruthappapuram  Block  7  ,  4.Vellalan kottai  (R.V)  And  (P)  Valasalpatti  Block  8  ,  999.OVERSEAS  ELECTORS",All  Voters,496,Dravida Munnetra Kazhagam,237,97,140,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,7,14,6,14,14,5,14,14,14,10,10,10,10,9,7,14,14,28.22580645161291,17
49,366,193,83,0,1,2,2,169,1,1,0,1,2,4,4,9,4,1,0,2,1,846,0,1,847,0,Vadakku llanthaikulam,"Panchayat  Union  Primary  School  ,  North Side  ,  Vadakku  llanthaikulam.","1.Vadakku  elanthaikulam  (p)  Block  1  ,  2.Vadakku  Elanthaikulam  (P) Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,846,All India Anna Dravida Munnetra Kazhagam,366,193,173,Dravida Munnetra Kazhagam,2,1,4,3,19,13,9,9,13,13,19,13,9,6,6,5,6,13,19,9,13,20.44917257683215,29
50,272,233,71,0,0,1,0,121,0,2,0,0,0,2,3,4,3,1,1,0,1,715,0,2,717,0,Vadakku Ilanthaikulam,"Panchayat  Union  Primery  School  ,  South Side  ,  Vadakku  Ilanthaikulam.","1.Vadakku  elanthaikulam  (p)  Block  3  ,  2.Vadakku  Elanthaikulam  (P) Block  4  ,  999.OVERSEAS  ELECTORS",All  Voters,715,All India Anna Dravida Munnetra Kazhagam,272,233,39,Dravida Munnetra Kazhagam,2,1,4,3,14,14,10,14,14,8,14,14,14,8,6,5,6,10,10,14,10,5.454545454545454,17
51,118,293,46,1,0,6,0,125,1,1,0,4,0,2,2,0,4,7,1,0,1,612,0,5,617,0,Panikkarkulam,"Panchayat  Union  primary  School,  East  Side  , Panikkarkulam.","1.Panikkarkulam  (R.V)  And  (P)  Panikkarkulam  Block  1  ,  2.Panikkarkulam (R.V)  And  (P)  Erandampuli  Ramanathepuram  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,612,Dravida Munnetra Kazhagam,293,125,168,Tamilaga Vettri Kazhagam,1,3,4,2,11,16,6,16,11,11,16,7,16,9,9,16,7,5,11,16,11,27.45098039215686,22
52,122,331,31,1,0,1,4,192,2,1,2,3,3,2,4,4,1,2,0,1,0,707,0,2,709,0,Nagalapuram,"Panchayat  Union  Middle  School,  West  Side  , Nagalapuram.","1.Panikkarkulam  (R.V)  And  (P)  Nagalapuram  Block  3  ,  999.OVERSEAS ELECTORS",All  Voters,707,Dravida Munnetra Kazhagam,331,192,139,Tamilaga Vettri Kazhagam,1,3,4,2,14,19,14,5,10,14,10,8,8,10,5,5,14,10,19,14,19,19.66053748231966,23
53,166,251,75,1,0,8,0,229,1,2,0,1,1,7,4,2,0,0,1,0,0,749,0,1,750,0,Ayyanaroothu,"Panchayat  Union  Primary  School  ,  North East  Side  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  North  street  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,749,Dravida Munnetra Kazhagam,251,229,22,Tamilaga Vettri Kazhagam,1,3,4,2,10,15,5,15,10,8,15,10,10,6,7,8,15,15,10,15,15,2.937249666221629,18
54,95,211,26,0,0,2,2,141,2,0,1,1,2,1,5,4,2,3,0,0,0,498,0,3,501,0,Ayyanaroothu,"Panchayat  Union  Primary  School  ,  Middle Portion  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Sandhi  street  Block  2  ,  2.Ayyanaroothu (R.V)  And  (P)  South  Street  Block  3  ,  999.OVERSEAS  ELECTORS",All  Voters,498,Dravida Munnetra Kazhagam,211,141,70,Tamilaga Vettri Kazhagam,1,3,4,2,16,16,8,8,8,16,13,13,8,13,5,6,8,7,16,16,16,14.05622489959839,19
55,88,335,35,0,0,5,0,104,0,0,0,1,1,2,3,3,2,4,0,0,3,586,0,1,587,0,Ayyanaroothu,"Panchayat  Union  Primary  School,  South Portion  ,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Middle  street  Block  4  ,  2.Ayyanaroothu (R.V)  And  (P)  A.Kuppanapuram  Block  6  ,  999.OVERSEAS  ELECTORS",All  Voters,586,Dravida Munnetra Kazhagam,335,104,231,Tamilaga Vettri Kazhagam,1,3,4,2,14,14,5,14,14,14,14,12,12,10,7,7,10,6,14,14,7,39.419795221843,19
56,46,497,31,0,0,1,1,56,1,0,0,0,0,0,1,0,1,4,0,0,1,640,0,2,642,0,Ayyanaroothu,"Panchayat  Union  Primary  School,  South West  Portion,  Ayyanaroothu.","1.Ayyanaroothu  (R.V)  And  (P)  Pallivasal  Street  Block  5  ,  2.Ayyanaroothu (R.V)  And  (P)  Indhira  Nagar  Street  Block  7  ,  999.OVERSEAS  ELECTORS",All  Voters,640,Dravida Munnetra Kazhagam,497,56,441,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,6,6,6,12,12,12,12,12,6,12,6,5,12,12,6,68.90625,7
57,199,298,29,0,0,2,3,89,0,1,0,1,0,2,1,7,0,1,0,0,2,635,0,1,636,0,USillankulam,"Panchayat  Union  Primary  School  ,  New Building  ,  USillankulam.","1.Ucilankulam  (R.V)  And  (P)  Single  Houses  Street  Block  1  ,  2.Ucilankulam (R.V)  And  (P)  North  Street  Block  2  ,  3.Uchilankulam  (R.V)  And  (P)  South
Street  Block  2  ,  999.OVERSEAS  ELECTORS",All  Voters,635,Dravida Munnetra Kazhagam,298,199,99,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,14,14,7,6,14,10,14,10,14,7,10,5,14,10,14,14,7,15.59055118110236,15
58,66,236,40,1,0,0,1,143,0,61,0,1,0,4,2,1,0,3,0,0,0,559,0,3,562,0,Manankathan,"Panchyat  Union  Primary  School,SSA Building  North  Portion  ,  Manankathan.","1.Therku  Elanthaikulam  (R.V)  And  (P)  Manankathan  Block  7  ,  2.Therku Elanthaikulam  (R.V)  And  (P)  Manankathan  Block  8  ,  999.OVERSEAS ELECTORS",All  Voters,559,Dravida Munnetra Kazhagam,236,143,93,Tamilaga Vettri Kazhagam,1,3,5,2,9,13,13,9,13,4,13,9,13,6,8,9,13,7,13,13,13,16.63685152057245,72
59,197,200,49,1,0,5,2,119,0,2,1,0,1,3,2,1,0,1,0,1,0,585,0,1,586,0,South Elanthaikulam,"Community  Hall  ,  South  Elanthaikulam.","1.Therku  elanthaikulam  (R.V)  And  (P)  Therku  Elanthaikulam  Block  1  , 999.OVERSEAS  ELECTORS",All  Voters,585,Dravida Munnetra Kazhagam,200,197,3,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,10,16,5,7,16,7,10,16,10,6,7,10,16,10,16,10,16,0.5128205128205128,12
60,245,124,40,0,0,0,4,253,3,65,0,1,3,2,2,10,2,2,1,1,1,759,0,2,761,0,Aatthikulam,"Hindu  Primary  School,  South  Portion, Aathikulam","1.Therku  Elanthaikulam  (R.V)  And  (P)  Ramalingam  Block  3  2.Therku Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  4  ,  3.Therku Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  5  ,  ,999.OVERSEAS ELECTORS",All  Voters,759,Tamilaga Vettri Kazhagam,253,245,8,All India Anna Dravida Munnetra Kazhagam,3,2,5,1,18,18,18,7,8,4,18,14,8,10,10,6,10,10,14,14,14,1.054018445322793,90
61,76,156,24,0,0,0,0,69,0,21,1,1,1,2,0,1,0,0,0,0,0,352,0,1,353,0,Kammapatti,"Panchayat  Union  Primary  School,  Main Building,  Kammapatti.","1.Therku  Elanthaikulam  (R.V)  And  (P)  Kammapatti  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,352,Dravida Munnetra Kazhagam,156,76,80,All India Anna Dravida Munnetra Kazhagam,1,2,4,3,11,11,11,11,11,5,7,7,7,6,11,7,11,11,11,11,11,22.72727272727273,27
62,322,88,17,1,0,2,2,142,1,11,1,0,0,3,1,0,4,0,0,1,1,597,0,0,597,0,Aatthikulam,"Hindu  Primary  School,  Aatthikulam.","1.Therku  Elanthaikulam  (R.V)  And  (P)  Aathikulam  Block  6  , 999.OVERSEAS  ELECTORS",All  Voters,597,All India Anna Dravida Munnetra Kazhagam,322,142,180,Tamilaga Vettri Kazhagam,3,1,4,2,10,16,8,8,10,5,10,16,16,7,10,16,6,16,16,10,10,30.15075376884422,22
63,169,121,33,0,0,2,1,111,0,160,1,0,0,4,0,0,0,0,0,0,0,602,0,0,602,0,Rajapudhukudi,"T.D.T.A..  Appasamy  Middle  School,  New Building  ,  Rajapudhukudi.","1.Rajapudhukudi  (R.V)  And  (P)  Rajapudhukudi  Block  1  ,  999.OVERSEAS ELECTORS",All  Voters,602,All India Anna Dravida Munnetra Kazhagam,169,160,9,Independent,3,1,5,4,10,10,7,8,10,2,8,10,10,6,10,10,10,10,10,10,10,1.495016611295681,165
64,98,95,23,0,0,1,1,108,0,197,1,0,0,3,0,2,0,1,0,0,2,532,0,0,532,0,Rajapudhukudi,"T.D.T.A..  Appasamy  Middle  School,  New Building  North,  Rajapudhukudi.","1.Rajapudhukudi  (R.V)  And  (P)  Rajapudhukudi  Block  2  ,  999.OVERSEAS ELECTORS",All  Voters,532,Independent,197,108,89,Tamilaga Vettri Kazhagam,4,3,5,2,13,13,9,9,13,1,9,13,13,6,13,7,13,9,13,13,7,16.72932330827068,206
65,223,214,56,1,0,9,0,203,1,69,0,0,0,0,0,1,0,0,1,0,1,779,0,4,783,0,Rajapudukudi,"T.D.T.A  Appasamy  Middle  School  ,  Old Building  ,  Rajapudukudi.","1.Sannathu  puthukudi  (R.V)  And  (P)  Sannathu  puthukudi  Block  1  ,
2.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  2  ,
3.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  3  ,
4.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  4  ,
5.Sannathu  Puthukudi  (R.V)  And  (P)  Sannathu  Puthukudi  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,779,All India Anna Dravida Munnetra Kazhagam,223,214,9,Dravida Munnetra Kazhagam,2,1,5,3,7,12,6,12,7,4,12,12,12,12,12,7,12,12,7,12,7,1.155327342747112,72
66,52,202,25,0,0,3,1,134,1,182,0,0,0,3,1,3,2,0,0,0,0,609,0,7,616,0,Therkumayilodai,"Public  Library,  Therkumayilodai","1.Therkumaillodai  (R.V)  And  (P)  Therkumaillodai  Brlock  1  , 2.TherkuMaillodai  (R.V)  And  (P)  TherkuMaillodai  Block  2  , 999.OVERSEAS  ELECTORS",All  Voters,609,Dravida Munnetra Kazhagam,202,182,20,Independent,1,4,5,3,13,13,6,10,10,2,13,13,13,6,10,6,9,13,13,13,13,3.284072249589491,191
67,83,127,14,0,0,0,0,104,0,4,2,0,0,0,1,1,0,0,0,0,0,336,0,0,336,0,Therkumayilodai,"Community  Hall,  Therkumayilodai","1.TherkuMaillodai  (R.V)  And  (P)  VadakuMaillodai  Block  4  ,
2.TherkuMaillodai  (R.V)  And  (P)  Kailasapuram  Block  5  ,  999.OVERSEAS ELECTORS",All  Voters,336,Dravida Munnetra Kazhagam,127,104,23,Tamilaga Vettri Kazhagam,1,3,4,2,9,9,9,9,9,5,6,9,9,9,7,7,9,9,9,9,9,6.845238095238096,8
68,184,104,52,1,0,0,2,149,4,535,1,4,2,4,2,10,2,1,0,0,2,1059,0,0,1059,0,Thalaiyal-nadantha nkulam,"T.D.T.A.  Primary  School  , Thalaiyalnadanthankulam.","1.Therkumayelodai  (R.V)  And  (P)  Thalaial  nadanthankulam  Block  4  , 2.Therkumayelodai  (R.V)  And  (P)  Thalaial  Nadanthankulam  Block  5  , 999.OVERSEAS  ELECTORS",All  Voters,1059,Independent,535,184,351,All India Anna Dravida Munnetra Kazhagam,4,2,5,3,15,18,18,10,7,1,15,7,10,7,10,6,10,15,18,18,10,33.14447592067989,563
69,175,217,37,0,0,0,1,188,0,0,0,1,2,1,0,3,1,1,0,0,0,627,0,1,628,0,Kayathar,"R.C.  Primary  School,  Main  Building  East Side,  Kayathar.","1.Kayathar  (F.G.T.P)  Pillaiarkovil  street  ward  1  ,  2.Kayathar  (F.G.T.P) Sakthi  Vinayagar  Kovil  Street  ,  3.Kayathar  (F.G.T.P)  Indhira  Nagar  ,
4.Kayathar  (F.G.T.P)  KottaiPillaiar  Kovil  Street  Ward  2  ,  999.OVERSEAS
ELECTORS",All  Voters,627,Dravida Munnetra Kazhagam,217,188,29,Tamilaga Vettri Kazhagam,1,3,4,2,12,12,12,7,12,12,12,7,6,7,12,5,7,7,12,12,12,4.625199362041467,9
70,138,200,33,0,0,0,1,176,0,0,0,1,0,0,0,1,0,0,1,0,1,552,0,2,554,0,Kayathar,"R.C.  Primary  School,  Main  Building  West Side,  Kayathar.","1.Kayathar  (F.G.T.P)  Theyagaraja  Bhawather  Street  ,  2.Kayathar  (F.G.T.P) RajaKovil  Street  ,  3.Kayathar  (F.G.T.P)  LurdumathaKovil  Street  ,
4.Kayathar  (F.G.T.P)  Ambalavanar  Street  8  ,  5.Kayathar  (F.G.T.P) Sudalaimadan  Kovil  Street  Ward  ,  6.Kayathar  (F.G.T.P)  KatturajaStreet  ,
7.Kayathar  (F.G.T.P)  Upatheiyar  Kennatru  Theru  ,  8.Kayathar  (F.G.T.P) Kalaivanarstreet  ,  9.Kayathar  (F.G.T.P)  Kaliamman  Kovil  Street  ,
999.OVERSEAS  ELECTORS",All  Voters,552,Dravida Munnetra Kazhagam,200,176,24,Tamilaga Vettri Kazhagam,1,3,4,2,10,10,10,5,10,10,10,5,10,10,10,5,10,10,5,10,5,4.347826086956522,4
71,141,223,49,1,0,1,0,178,0,2,0,0,0,0,0,1,0,1,0,0,0,597,0,0,597,0,Kayathar,"R.C  Fathima  Primary  School,  South  Room  , Kayathar.","1.Kayathar  (F.G.T.P)  Chedambaranar  Street  ,  2.Kayathar  (F.G.T.P) Kanthariamman  Kovil  Street  ,  3.Kayathar  (F.G.T.P)  Subramaniyaswamy Kovil  Street  ,  4.Kayathar  (F.G.T.P)  Santhikenntru  Street  ,  5.Kayathar
(F.G.T.P)  Pudhukenatru  Street  ,  6.Kayathar  (F.G.T.P)  Karupasamy  Kovil
Street  Ward  6  ,999.OVERSEAS  ELECTORS",All  Voters,597,Dravida Munnetra Kazhagam,223,178,45,Tamilaga Vettri Kazhagam,1,3,4,2,6,10,6,10,10,5,10,10,10,10,10,6,10,6,10,10,10,7.537688442211055,4
72,218,187,40,0,0,0,0,150,0,0,0,0,0,0,0,1,2,0,0,0,0,598,0,3,601,0,Kayathar,"Panchyat  Union  Middle  School,  North Building  East  Room,  Kayathar.","1.Kayathar  (F.G.T.P)  Main  Road  Ward  5  ,  2.Kayathar  (F.G.T.P)  Hospital Road  ,  3.Kayathar  (F.G.T.P)  Kattabomman  Street  ,  4.Kayathar  (F.G.T.P) Kadamboor  KeelaMel  Street  ,  5.Kayathar  (F.G.T.P)  Police  line  ,  6.Kayathar (F.G.T.P)  Kadamboor  tenvadal  Street  ,  999.OVERSEAS  ELECTORS",All  Voters,598,All India Anna Dravida Munnetra Kazhagam,218,187,31,Dravida Munnetra Kazhagam,2,1,4,3,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,7,7,5.183946488294314,3
